fn,firstSentence,confidence
Indobit-A-NYT1981 - Jan 1 - March 31-107.txt, a former United States Navy scientist whose research helped develop the first radio detection of aircraft
Indobit-A-NYT1989 - Jan 1 - Feb 28-90.txt, who headed a mission after World War II that sought to locate and return Hungarian property taken by the Nazis
Indobit-A-NYT1993 - March 1 - April 30-307.txt, a Realist painter whose 1966 painting of children holding an American flag was reproduced on a poster commemorating President Clinton's inauguration
Indobit-A-NYT2014_501-1000-134.txt, who represented Southern Illinois in Congress for many years and became known as the ''Prince of Pork'' for bringing $7 billion in projects to his district
Indobit-A-NYT1985 - July 1 - Sep 30-240.txt, a researcher in structural and mechanical engineering and the Robert Higgin Professor of Mechanical Engineering at Yale University
Indobit-A-NYT1990_July to December_1-500-270.txt, a Dutch AIDS patient who was imprisoned in Minnesota last year because he did not declare that he had the disease when he entered the country
Indobit-A-NYT1994_1501-2000-305.txt," the widow of Bruno Richard Hauptmann, who was convicted of murder in the kidnapping of Charles A. Lindbergh's infant son"
Indobit-A-NYT1995 - Nov 1 - Dec 31-70.txt," whose novel ""Forests of the Night"" won him France's highest literary prize"
Indobit-A-NYT1992_2001-2402-350.txt," the mother of Leonard Bernstein, who contributed lyrics for a segment of his last musical work"
Indobit-A-NYT1982_501-1000-19.txt, a Bolivian-born painter who had lived in the United States since 1956
Indobit-A-NYT1992_1-500-368.txt, a documentary photographer and teacher
Indobit-A-NYT1995 - March 1 - April 30-27.txt, an oilman and philanthropist whose $77 million helped expand the nation's largest hospital complex
Indobit-A-NYT1986_501-1000-38.txt," chairman of the board of trustees of Lincoln University, the oldest black university in the United States"
Indobit-A-NYT1991 - June 1 - June 30-226.txt, a retired businesswoman who was active in charitable affairs
Indobit-A-NYT1995 - Nov 1 - Dec 31-269.txt, who sat on the bench of Federal District Court in Chicago for 34 years
Indobit-A-NYT1994_1-500-338.txt," an ace fighter pilot who flew missions in World War II, the Korean War and the Vietnam War"
Indobit-A-NYT1981 - Oct 1 - Dec 31-169.txt, who became lightweight boxing champion of the world in 1940
Indobit-A-NYT1988_1-500-431.txt, who developed artery transplants at McGill University in Montreal
Indobit-A-NYT1986_501-1000-436.txt, the combative Hall of Fame quarterback
Indobit-A-NYT1995 - Jan 1 - Feb 28-389.txt," a professor emeritus at the University of Maryland who was an expert in partial differential equations, the means by which mathematicians express many fundamental laws of physics and engineering"
Indobit-A-NYT2007 - Jan 1 - March 31-18.txt, United States secretary of commerce under President Ronald Reagan and a steel executive
Indobit-A-NYT2005 - Jan 1 - March 31-125.txt, a microbiologist who in the 1940's helped develop the powerful antibiotic streptomycin but later had to go to court to be recognized as a co-discoverer of the drug
Indobit-A-NYT2009 - Oct 1 - Dec 31-144.txt," who turned a philosopher's explorations of time, logic and free will into a critical technique for verifying the reliability of computers"
Indobit-A-NYT1983 - July 1 - Sep 30-191.txt, chairman of the department of obstetrics and gynecology at Columbia University's College of Physicians and Surgeons
Indobit-A-NYT1989 - May 1 - June 30-146.txt, a spokesman and counselor for AIDS victims
Indobit-A-NYT1996_501-1000-286.txt," a former director of Dow Jones & Company, which publishes The Wall Street Journal and Barron's magazine"
Indobit-A-NYT1995 - May 1 - June 30-171.txt, a Duke University authority on plant physiology
Indobit-A-NYT2004_1-500-396.txt, a leading philanthropist in Turkey and one of its most prominent businessmen as head of the conglomerate Sabanci Holding
Indobit-A-NYT1990_January to June_1001-1500-172.txt, an abstract painter
Indobit-A-NYT1999 - Jan 1 - March 31-345.txt," an Oscar-winning composer who wrote the scores for the films ""Exodus,"" ""It's a Mad, Mad, Mad, Mad World,"" ""On the Beach"" and ""The Secret of Santa Vittoria"
Indobit-A-NYT2003 - July 1 - Sep 30-35.txt, the man who made it practical to sell individually wrapped slices of cheese in the 1950's
Indobit-A-NYT1981 - April 1 - June 30-94.txt, who wrote nine books and 300 articles dealing with aviation and the Germany of World War II
Indobit-A-NYT1984_1-500-452.txt," emeritus professor of fine arts at Amherst, who established the Mead Art Museum at the college"
Indobit-A-NYT1983 - April 1 - June 30-282.txt, professor of psychology at City College and director of a research project with autistic children
Indobit-A-NYT1994_1-500-246.txt, who was Burt Lancaster's acrobatic sidekick in his circus days and in two 1950's movies
Indobit-A-NYT1991 - Sep 1 - Oct 31-41.txt, professor emeritus of ophthalmology at Columbia University
Indobit-A-NYT1995 - May 1 - June 30-318.txt, a cable television executive
Indobit-A-NYT1990_January to June_1-500-216.txt, a neuropathologist who was director of the division of neuropathology at the University of Virginia Health Sciences Center since 1981
Indobit-A-NYT1982_501-1000-116.txt, a British composer
Indobit-A-NYT2006_1001-1372-189.txt, who fought the National Park Service to keep her summer home inside the boundaries of Rocky Mountain National Park
Indobit-A-NYT1990_July to December_1-500-143.txt, an authority on the Shaker religious sect
Indobit-A-NYT2001 - July 1 - Sep 30-328.txt, a retired rear admiral who was one of three admirals censured by the Navy over the 1991 Tailhook sexual-assault scandal
Indobit-A-NYT1995 - March 1 - April 30-245.txt," the eldest daughter and a close adviser of Italy's Fascist dictator, whose husband was executed after he opposed her father's rule"
Indobit-A-NYT1982_1001-1500-388.txt, who played in two All-Star Games during his 12-year major league career
Indobit-A-NYT1983 - July 1 - Sep 30-258.txt," Dies at 87 SAN SEBASTIAN, Spain, Aug. 29 (UPI) - Jose Bergamin Gutierrez, the Spanish writer who gained literary fame during the cultural awakening before the Spanish Civil War"
Indobit-A-NYT1990_July to December_501-1000-75.txt,
Indobit-A-NYT2008_1-500-19.txt," a Talmudic scholar who for more than 50 years led a major Orthodox yeshiva in Brooklyn, known as the Mir Yeshiva"
Indobit-A-NYT2017- July 1 - Oct 23-87.txt, for so many
Indobit-A-NYT1994_1501-2000-32.txt, headmistress of the Greenwich Academy in Connecticut from 1955 to 1975
Indobit-A-NYT2006_1001-1372-208.txt, a writer and star of the cult film ''Hell's Angels '69
Indobit-A-NYT1983 - April 1 - June 30-150.txt, an Arctic flier and the first Russian to win the title of Hero of the Soviet Union
Indobit-A-NYT1983 - Jan 1 - March 31-425.txt," who with his wife, Eva Sully, played the vaudeville comedy team of Block and Sully for 20 years"
Indobit-A-NYT2005 - July 1 - Sep 30-93.txt," Tenn., July 27 Ray Oldham"
Indobit-A-NYT2001 - April 1 - June 30-308.txt, a daughter of the Shah of Iran
Indobit-A-NYT2006_1-500-461.txt, a pioneer in the Texas-border music genre called Tejano and an ambassador of San Antonio culture
Indobit-A-NYT2016_1-500-279.txt," a Harvard philosopher whose influence ranged widely across many fields of thought, including mathematical logic, philosophy of mind and language, epistemology and metaphysics"
Indobit-A-NYT1985 - Jan 1 - March 31-97.txt, co-owner of the Stage Delicatessen and Restaurant and other restaurants in Manhattan
Indobit-A-NYT2002_501-1000-235.txt," whose warm, radiant voice placed her in the first rank of American popular singers for more than half a century"
Indobit-A-NYT1990_July to December_1-500-376.txt," an original slap-style string bass player who most recently appeared with the Preservation Hall Jazz Band in New Orleans, La., on July 16"
Indobit-A-NYT1981 - Jan 1 - March 31-340.txt, Sterling Professor Emeritus of German at Yale University
Indobit-A-NYT1986_1001-1500-106.txt, a philanthropist who was one of four famous Texas wildcat oil drillers
Indobit-A-NYT2002_1001-1513-24.txt, a Canadian painter
Indobit-A-NYT1995 - July 1 - Aug 31-348.txt, whose search for a way to improve the lives of troubled girls led to the development of speed reading techniques prescribed by Presidents and endorsed by multitudes
Indobit-A-NYT2000_501-1000-486.txt," a photographer who recorded the vanishing tribes of southern Africa, the World War II battlefields of Europe and her life on Maryland's tranquil Eastern Shore"
Indobit-A-NYT2006_1-500-26.txt, a mezzo-soprano who was a fixture at the New York City Opera for 30 years
Indobit-A-NYT1986_1-500-319.txt, who directed marketing and fund-raising activities for Foster Parents Plan for 25 years
Indobit-A-NYT1981 - Jan 1 - March 31-185.txt, the composer probably best remembered for the haunting themes he wrote for Western movies starring Clint Eastwood
Indobit-A-NYT1987 - July 1 - Aug 31-40.txt," who was superintendent of schools in Bronxville, N.Y., for 10 years"
Indobit-A-NYT1984_1501-1563-21.txt," retired, who was decorated for leading his troops in the assault on Iwo Jimain World War II"
Indobit-A-NYT1983 - April 1 - June 30-336.txt, a former Republican Assemblyman from Columbia County
Indobit-A-NYT1981 - July 1 - Sep 30-299.txt," a partner in the New York City law firm of Mudge, Rose, Guthrie & Alexander"
Indobit-A-NYT1994_1-500-193.txt, an Australian philosopher and social thinker
Indobit-A-NYT1993 - Nov 1 - Dec 31-201.txt," a star of the Grand Ole Opry who won a Grammy Award in 1966 for his hit song ""Almost Persuaded"
Indobit-A-NYT1994_1-500-238.txt," an avant-garde composer who collaborated with John Cage and whose 1956 ""Illiac Suite"" was the first substantial piece of music composed on a computer"
Indobit-A-NYT1988_501-1000-244.txt, Abuna Tekle Haimanot
Indobit-A-NYT1992_1501-2000-395.txt, who founded the Newark law firm of Fox & Fox in 1920
Indobit-A-NYT1986_1-500-341.txt," the former head of the department of physics and chemistry at the United States Military Academy at West Point, N.Y."
Indobit-A-NYT2011-April 1 - June 30-57.txt, who led a successful big band in the 1930s and '40s and continued to perform into the 1990s
Indobit-A-NYT1986_501-1000-273.txt, a confidant of former Prime Minister Kakuei Tanaka who was convicted of perjury in connection with the Lockheed payoff scandal
Indobit-A-NYT2011-Jan 1 - March 31-38.txt, the Buffalo Bills' hard-charging fullback who became one of the early stars of the American Football League
Indobit-A-NYT1980_501-904-174.txt, one of hockey's most influential and controversial owners
Indobit-A-NYT2010_1-500-487.txt,
Indobit-A-NYT1995 - Nov 1 - Dec 31-39.txt, a baritone who sang with the Metropolitan Opera in the 1960's
Indobit-A-NYT2009 - Jan 1 - March 31-205.txt," Riverside Drive, at 122nd Street"
Indobit-A-NYT1997 - Oct 1 - Dec 31-139.txt, a theoretical chemist whose predictions about the nature of unknown organic chemicals led to many drug advances
Indobit-A-NYT1998_1001-1500-408.txt," a prolific French composer of songs and also of the soundtracks for over 150 films made by Orson Welles, Jean-Luc Godard, Roger Vadim and others"
Indobit-A-NYT1999 - April 1 - June 30-300.txt," a versatile screenwriter who worked in early television and motion pictures, specializing in dramas and documentaries"
Indobit-A-NYT1985 - July 1 - Sep 30-171.txt, Del.
Indobit-A-NYT1999 - July 1 - Sep 30-14.txt, a popular and prolific Jamaican reggae singer
Indobit-A-NYT1982_1-500-371.txt," who with her husband, Gene, ran Mamma Leone's restaurant on West 48th Street for two decades"
Indobit-A-NYT1987 - Jan 1 - March 31-207.txt, a painter and associate professor of art at Queens College
Indobit-A-NYT1988_1-500-151.txt, who was convicted in a savings and loan scandal that cost him his Congressional seat
Indobit-A-NYT2008_1-500-183.txt," who marshaled polysyllabic exuberance, arched eyebrows and a refined, perspicacious mind to elevate conservatism to the center of American political discourse"
Indobit-A-NYT1985 - July 1 - Sep 30-119.txt, a former executive director of the Institute of Electrical and Electronics Engineers
Indobit-A-NYT1991 - May 1 - May 31-36.txt," who directed hundreds of movies, including Elvis Presley's ""Jailhouse Rock"
Indobit-A-NYT1985 - Oct 1 - Dec 31-176.txt, the host for more than 25 years at the Stork Club in Manhattan
Indobit-A-NYT1989 - Jan 1 - Feb 28-208.txt," an oilman and philanthropist who in 1980 made an anonymous gift of $18 million to Buena Vista College, a small liberal arts institution in Storm Lake, Iowa"
Indobit-A-NYT1987 - Jan 1 - March 31-208.txt, a shipping executive and a leading figure in contract bridge
Indobit-A-NYT1986_1-500-441.txt, retired Bishop of El Paso
Indobit-A-NYT2001 - July 1 - Sep 30-35.txt," a Grand Ole Opry star whose song ""Act Naturally"" was recorded by the Beatles and Buck Owens"
