c,p,r,rev,y
Sovereign Bancorp,453.6,611.0,2706.4,2005.0
Retail Ventures,10.1,612.0,2698.1,2005.0
Solutia,-316.0,613.0,2697.0,2005.0
Seaboard,168.1,614.0,2684.0,2005.0
Forest Laboratories,735.9,615.0,2680.3,2005.0
Robert Half Intl.,140.6,616.0,2675.7,2005.0
Mercury General,286.2,617.0,2668.2,2005.0
Linens 'n Things,63.1,618.0,2661.5,2005.0
Providian Financial,418.6,619.0,2659.9,2005.0
Payless Shoesource,-2.0,620.0,2656.5,2005.0
Polo Ralph Lauren,171.0,621.0,2649.7,2005.0
Simon Property Group,343.0,622.0,2647.8,2005.0
Analog Devices,570.7,623.0,2633.8,2005.0
Teleflex,9.5,624.0,2618.4,2005.0
PolyOne,23.5,625.0,2613.5,2005.0
Fleetwood Enterprises,-22.3,626.0,2608.0,2005.0
Country Insurance & Financial Services,171.0,627.0,2607.5,2005.0
BJ Services,361.0,628.0,2601.0,2005.0
UTStarcom,170.0,629.0,2600.5,2005.0
CUNA Mutual Group,105.8,630.0,2596.7,2005.0
Puget Energy,55.0,631.0,2568.8,2005.0
Sirva,21.1,632.0,2567.7,2005.0
Harris,132.8,633.0,2558.9,2005.0
Kellwood,70.1,634.0,2555.7,2005.0
Crompton,-34.6,635.0,2549.8,2005.0
D&K Healthcare Resources,10.2,636.0,2541.2,2005.0
New Jersey Resources,71.6,637.0,2533.6,2005.0
First Horizon National Corp.,454.4,638.0,2530.0,2005.0
McCormick,214.5,639.0,2526.2,2005.0
Giant Industries,16.2,640.0,2512.9,2005.0
NRG Energy,N.A.,641.0,2502.5,2005.0
Harsco,121.2,642.0,2502.1,2005.0
Exide Technologies,-114.1,643.0,2500.5,2005.0
A.G. Edwards,159.5,644.0,2498.9,2005.0
International Game Technology,488.7,645.0,2498.3,2005.0
Dura Automotive Systems,11.7,646.0,2492.5,2005.0
Convergys,111.5,647.0,2487.7,2005.0
Energy Transfer Partners,99.2,648.0,2482.3,2005.0
Regal Entertainment Group,82.5,649.0,2468.0,2005.0
Great Plains Energy,180.8,650.0,2465.6,2005.0
Universal Forest Prods.,48.6,651.0,2453.3,2005.0
Synovus Financial Corp.,437.0,652.0,2450.5,2005.0
Furniture Brands Intl.,91.6,653.0,2447.4,2005.0
Carlisle,79.6,654.0,2447.4,2005.0
Valspar,142.8,655.0,2440.7,2005.0
Sports Authority,34.1,656.0,2435.9,2005.0
TravelCenters of America,13.7,657.0,2423.7,2005.0
Silgan Holdings,84.1,658.0,2420.4,2005.0
ABM Industries,30.5,659.0,2416.2,2005.0
Vishay Intertechnology,44.7,660.0,2413.6,2005.0
Beckman Coulter,210.9,661.0,2408.3,2005.0
CenturyTel,337.2,662.0,2407.4,2005.0
Snap-On,81.7,663.0,2407.2,2005.0
Broadcom,218.7,664.0,2400.6,2005.0
USF,23.8,665.0,2394.6,2005.0
Reader's Digest Assn.,49.5,666.0,2388.5,2005.0
Belk,120.8,667.0,2388.3,2005.0
Graphic Packaging,-41.8,668.0,2386.5,2005.0
CBRL Group,113.3,669.0,2380.9,2005.0
Diebold,184.0,670.0,2380.9,2005.0
Worthington Industries,86.8,671.0,2379.1,2005.0
Steelcase,-23.2,672.0,2376.8,2005.0
Spartan Stores,-6.7,673.0,2375.0,2005.0
Freeport-McMoRan Cpr. & Gld,202.3,674.0,2371.9,2005.0
Alliant Techsystems,162.3,675.0,2366.2,2005.0
CB Richard Ellis Group,64.7,676.0,2365.1,2005.0
RPM International,141.9,677.0,2341.6,2005.0
America West Holdings,-89.0,678.0,2339.0,2005.0
Charming Shoppes,67.2,679.0,2332.3,2005.0
Thermo Electron,361.8,680.0,2324.9,2005.0
Jack in the Box,74.7,681.0,2322.4,2005.0
National Oilwell Varco,110.2,682.0,2318.1,2005.0
Rent A Center,155.9,683.0,2313.3,2005.0
Zale,106.5,684.0,2304.4,2005.0
DaVita,222.3,685.0,2298.6,2005.0
St. Jude Medical,409.9,686.0,2294.2,2005.0
United Defense Industries,166.1,687.0,2292.4,2005.0
Corn Products Intl.,93.6,688.0,2283.5,2005.0
Pep Boys,23.6,689.0,2272.9,2005.0
EOG Resources,624.9,690.0,2271.2,2005.0
Leucadia National,145.5,691.0,2268.6,2005.0
Oshkosh Truck,112.8,692.0,2262.3,2005.0
Markel,165.4,693.0,2262.1,2005.0
Gold Kist Holdings,110.9,694.0,2260.7,2005.0
Peoples Energy,81.6,695.0,2260.2,2005.0
W.R. Grace,-402.3,696.0,2259.9,2005.0
US Oncology,48.1,697.0,2259.8,2005.0
Spherion,35.8,698.0,2259.4,2005.0
Molex,175.9,699.0,2246.7,2005.0
Holly,83.9,700.0,2246.4,2005.0
Scholastic,58.4,701.0,2233.8,2005.0
Bausch & Lomb,159.6,702.0,2232.3,2005.0
Precision Castparts,117.9,703.0,2232.2,2005.0
Storage Technology,191.0,704.0,2224.0,2005.0
IDT,-95.7,705.0,2216.9,2005.0
Sentry Insurance Group,217.7,706.0,2213.3,2005.0
Brown-Forman,258.0,707.0,2213.0,2005.0
Biogen Idec,44.8,708.0,2209.7,2005.0
Greif,47.8,709.0,2209.3,2005.0
Georgia Gulf,105.9,710.0,2206.2,2005.0
Tiffany,304.3,711.0,2204.8,2005.0
Hewitt Associates,122.8,712.0,2204.7,2005.0
Genzyme,86.5,713.0,2201.1,2005.0
Trinity Industries,-9.3,714.0,2198.1,2005.0
Citizens Communications,72.2,715.0,2193.0,2005.0
Thor Industries,106.1,716.0,2187.7,2005.0
Stewart Information Services,82.5,717.0,2182.9,2005.0
Hayes Lemmerz,-49.5,718.0,2181.4,2005.0
Hillenbrand Industries,110.0,719.0,2175.0,2005.0
E.W. Scripps,303.8,720.0,2167.5,2005.0
Amerco,-2.9,721.0,2167.5,2005.0
Beverly Enterprises,28.0,722.0,2166.8,2005.0
Huntington Bancshares,398.9,723.0,2165.9,2005.0
StanCorp Financial,199.4,724.0,2149.7,2005.0
Steel Dynamics,295.3,725.0,2144.9,2005.0
Ingles Markets,28.8,726.0,2137.4,2005.0
Granite Construction,57.0,727.0,2136.2,2005.0
Sabre Holdings,190.4,728.0,2131.0,2005.0
Solo Cup,-49.9,729.0,2116.4,2005.0
Dick's Sporting Goods,66.6,730.0,2109.4,2005.0
Acuity Brands,67.2,731.0,2104.2,2005.0
Weis Markets,57.2,732.0,2097.7,2005.0
ETrade Financial,380.5,733.0,2096.6,2005.0
Minnesota Life Ins.,138.9,734.0,2093.7,2005.0
HNI,113.6,735.0,2093.4,2005.0
Cooper Cameron,94.4,736.0,2092.8,2005.0
Building Material Holding,53.9,737.0,2091.0,2005.0
WGL Holdings,96.6,738.0,2089.6,2005.0
Adams Resources & Engy.,8.6,739.0,2069.8,2005.0
UICI,161.6,740.0,2064.3,2005.0
Titan,-38.4,741.0,2061.9,2005.0
Scotts Miracle-Gro,100.9,742.0,2055.6,2005.0
FMC,160.2,743.0,2051.2,2005.0
Allergan,377.1,744.0,2045.6,2005.0
Casey's General Stores,36.5,745.0,2042.1,2005.0
Veritas Software,411.4,746.0,2041.9,2005.0
Meritage Homes,139.0,747.0,2040.0,2005.0
Service Corp. Intl.,121.5,748.0,2034.2,2005.0
Intl. Flavors & Frag.,196.1,749.0,2033.7,2005.0
National Fuel Gas,166.6,750.0,2031.4,2005.0
True Value,43.2,751.0,2023.9,2005.0
Abercrombie & Fitch,216.4,752.0,2021.3,2005.0
Landstar System,71.9,753.0,2019.9,2005.0
Nvidia,100.4,754.0,2010.0,2005.0
American Greetings,104.7,755.0,2008.9,2005.0
Olin,54.8,756.0,2008.8,2005.0
Legg Mason,297.8,757.0,2004.3,2005.0
Benchmark Electronics,71.0,758.0,2001.3,2005.0
La-Z-Boy,-5.8,759.0,1998.9,2005.0
MBIA,815.3,760.0,1998.8,2005.0
Hercules,27.0,761.0,1997.0,2005.0
Hubbell,154.7,762.0,1993.0,2005.0
Electronics Boutique Holdings,52.3,763.0,1989.4,2005.0
Protective Life,234.6,764.0,1988.6,2005.0
National Semiconductor,282.8,765.0,1983.1,2005.0
Manitowoc,39.1,766.0,1981.9,2005.0
Crosstex Energy,8.7,767.0,1978.8,2005.0
Kennametal,73.6,768.0,1971.4,2005.0
General Cable,15.5,769.0,1970.7,2005.0
Patterson,149.5,770.0,1969.3,2005.0
Equity Residential,472.3,771.0,1951.3,2005.0
XTO Energy,507.9,772.0,1947.6,2005.0
Briggs & Stratton,136.1,773.0,1947.4,2005.0
Brown Shoe,43.3,774.0,1941.8,2005.0
Cabot,124.0,775.0,1934.0,2005.0
Volt Info. Sciences,33.7,776.0,1924.8,2005.0
Hawaiian Electric Inds.,109.7,777.0,1924.1,2005.0
Regis,105.5,778.0,1923.1,2005.0
Zions Bancorp,406.0,779.0,1923.0,2005.0
Sequa,19.2,780.0,1920.0,2005.0
Western Wireless,232.9,781.0,1917.7,2005.0
Agere Systems,-90.0,782.0,1912.0,2005.0
Tecumseh Products,10.1,783.0,1911.7,2005.0
Arch Coal,113.7,784.0,1907.2,2005.0
Questar,229.3,785.0,1901.4,2005.0
Amkor Technology,-37.5,786.0,1901.3,2005.0
Airgas,80.2,787.0,1895.5,2005.0
Compass Bancshares,369.8,788.0,1891.1,2005.0
Crane,-105.4,789.0,1890.3,2005.0
Packaging Corp. of America,68.7,790.0,1890.1,2005.0
American Eagle Outfitters,214.0,791.0,1881.2,2005.0
Symantec,370.6,792.0,1870.1,2005.0
Brightpoint,16.3,793.0,1869.6,2005.0
Pier 1 Imports,118.0,794.0,1868.2,2005.0
Intuit,317.0,795.0,1867.7,2005.0
TBC,37.6,796.0,1854.6,2005.0
AnnTaylor Stores,63.3,797.0,1853.6,2005.0
Pioneer Natural Resources,312.9,798.0,1846.8,2005.0
Perini,36.0,799.0,1842.3,2005.0
Aquila,-292.5,800.0,1841.9,2005.0
Andrew,33.0,801.0,1838.7,2005.0
Ivax,198.0,802.0,1837.4,2005.0
AGL Resources,153.0,803.0,1832.0,2005.0
Raymond James Financial,127.6,804.0,1829.8,2005.0
North Fork Bancorp.,553.0,805.0,1826.7,2005.0
Applera,125.6,806.0,1825.2,2005.0
Amerigroup,86.0,807.0,1823.7,2005.0
Polaris Industries,104.5,808.0,1823.0,2005.0
William Lyon Homes,171.6,809.0,1821.8,2005.0
Quintiles Transnational,1.0,810.0,1820.8,2005.0
Iron Mountain,94.2,811.0,1817.6,2005.0
Systemax,6.3,812.0,1814.5,2005.0
Jo Ann Stores,46.2,813.0,1812.4,2005.0
Petco Animal Supplies,83.7,814.0,1812.1,2005.0
General Growth Properties,267.9,815.0,1809.0,2005.0
Pacer International,47.2,816.0,1808.1,2005.0
Commerce Group,214.4,817.0,1806.6,2005.0
WCI Communities,120.2,818.0,1805.6,2005.0
Ferro,N.A.,819.0,1800.0,2005.0
Southern Union,114.0,820.0,1800.0,2005.0
Apollo Group,277.8,821.0,1798.4,2005.0
Magellan Health Svcs.,88.4,822.0,1795.5,2005.0
UST,530.8,823.0,1793.2,2005.0
Teradyne,165.2,824.0,1791.9,2005.0
AMC Entertainment,-10.7,825.0,1787.3,2005.0
Univision Communications,256.0,826.0,1786.9,2005.0
Vanguard Health Systems,40.1,827.0,1782.8,2005.0
Hollywood Entertainment,71.3,828.0,1782.4,2005.0
Pride International,-3.5,829.0,1780.0,2005.0
SanDisk,266.6,830.0,1777.1,2005.0
Amerigas Partners,91.9,831.0,1775.9,2005.0
Martin Marietta Materials,129.2,832.0,1775.4,2005.0
Perot Systems,94.3,833.0,1773.5,2005.0
Pall,151.6,834.0,1770.7,2005.0
Medical Mutual of Ohio,73.5,835.0,1770.1,2005.0
Massey Energy,13.9,836.0,1766.6,2005.0
Cenveo,-19.7,837.0,1742.9,2005.0
Priority Healthcare,44.6,838.0,1739.6,2005.0
Tractor Supply,64.1,839.0,1738.8,2005.0
Boyd Gaming,114.5,840.0,1734.1,2005.0
New Century Financial,375.6,841.0,1732.6,2005.0
Symbol Technologies,81.8,842.0,1732.1,2005.0
DST Systems,222.8,843.0,1732.0,2005.0
Career Education,179.6,844.0,1728.5,2005.0
Vornado Realty Trust,592.9,845.0,1727.1,2005.0
Metro-Goldwyn-Mayer,-29.2,846.0,1724.8,2005.0
Chiron,78.9,847.0,1723.4,2005.0
Cytec Industries,126.1,848.0,1721.3,2005.0
O'Reilly Automotive,139.6,849.0,1721.2,2005.0
Arkansas Best,75.5,850.0,1715.8,2005.0
Dentsply International,253.2,851.0,1711.8,2005.0
Scientific-Atlanta,218.0,852.0,1708.0,2005.0
LSI Logic,-463.5,853.0,1700.2,2005.0
American Power Conversion,181.5,854.0,1699.9,2005.0
PerkinElmer,96.0,855.0,1690.6,2005.0
Vectren,107.9,856.0,1689.8,2005.0
Borden Chemical,-179.7,857.0,1686.0,2005.0
Werner Enterprises,87.3,858.0,1678.0,2005.0
Potlatch,271.2,859.0,1677.4,2005.0
Select Medical,118.2,860.0,1674.7,2005.0
Texas Industries,36.3,861.0,1672.5,2005.0
Dow Jones,99.5,862.0,1671.5,2005.0
Ohio Casualty,128.4,863.0,1671.0,2005.0
United Natural Foods,32.0,864.0,1670.0,2005.0
Adobe Systems,450.4,865.0,1666.6,2005.0
C.R. Bard,302.8,866.0,1656.1,2005.0
WestPoint Stevens,-123.0,867.0,1654.8,2005.0
Marsh Supermarkets,3.0,868.0,1653.9,2005.0
A.O. Smith,35.4,869.0,1653.1,2005.0
Toro,102.7,870.0,1652.5,2005.0
NBTY,111.8,871.0,1652.0,2005.0
Atmel,-2.4,872.0,1649.7,2005.0
Overnite,63.3,873.0,1647.5,2005.0
Vertis,-11.1,874.0,1645.1,2005.0
Phillips-Van Heusen,58.6,875.0,1641.4,2005.0
Watson Pharmaceuticals,151.3,876.0,1640.6,2005.0
Great Lakes Chemical,62.9,877.0,1640.2,2005.0
Quanta Services,-9.2,878.0,1626.5,2005.0
Biomet,325.6,879.0,1615.3,2005.0
AmerUs Group,192.6,880.0,1615.1,2005.0
Commerce Bancorp,273.4,881.0,1613.4,2005.0
MGIC Investment,553.2,882.0,1612.7,2005.0
Varco International,97.8,883.0,1607.2,2005.0
PNM Resources,87.7,884.0,1604.8,2005.0
Amica Mutual Insurance,103.5,885.0,1604.7,2005.0
Fairchild Semicond. Intl.,59.2,886.0,1603.1,2005.0
Dex Media,-50.8,887.0,1602.1,2005.0
Duane Reade,-50.7,888.0,1598.4,2005.0
TD Banknorth Group,304.6,889.0,1596.8,2005.0
Deluxe,198.0,890.0,1595.8,2005.0
Knights of Columbus,160.9,891.0,1590.6,2005.0
Rock-Tenn,17.6,892.0,1588.7,2005.0
Blyth,96.5,893.0,1586.3,2005.0
CSK Auto,18.6,894.0,1579.9,2005.0
Sierra Health Services,122.7,895.0,1575.4,2005.0
Quanex,54.5,896.0,1572.8,2005.0
Selective Insurance Group,128.6,897.0,1571.5,2005.0
IMS Health,285.4,898.0,1569.0,2005.0
Genesis HealthCare,29.1,899.0,1561.0,2005.0
Dade Behring Holdings,79.9,900.0,1559.8,2005.0
Ralcorp Holdings,65.1,901.0,1558.4,2005.0
AIMCO,263.5,902.0,1558.0,2005.0
Cabela's,65.0,903.0,1556.0,2005.0
Flowers Foods,50.8,904.0,1551.3,2005.0
Men's Wearhouse,71.0,905.0,1546.7,2005.0
ATA Holdings,-803.9,906.0,1532.6,2005.0
CellStar,-4.1,907.0,1531.3,2005.0
Amphenol,163.3,908.0,1530.4,2005.0
Piedmont Natural Gas,95.2,909.0,1529.7,2005.0
Plum Creek Timber,362.0,910.0,1528.0,2005.0
Banta,68.0,911.0,1523.3,2005.0
CKE Restaurants,-40.7,912.0,1517.6,2005.0
Applied Ind. Technologies,31.5,913.0,1517.0,2005.0
Accredo Health,78.3,914.0,1516.9,2005.0
Thomas & Betts,93.3,915.0,1516.3,2005.0
Albemarle,54.8,916.0,1513.7,2005.0
Guitar Center,63.4,917.0,1513.2,2005.0
Belo,132.5,918.0,1510.2,2005.0
Metals USA,104.5,919.0,1509.8,2005.0
Terra Industries,67.6,920.0,1509.1,2005.0
ExpressJet Holdings,122.8,921.0,1507.5,2005.0
Star Gas Partners,-5.9,922.0,1506.3,2005.0
Timberland,152.7,923.0,1500.6,2005.0
Alexander & Baldwin,101.0,924.0,1499.0,2005.0
Kla-Tencor,243.7,925.0,1496.7,2005.0
Westar Energy,178.9,926.0,1487.0,2005.0
Arthur J. Gallagher,188.5,927.0,1480.3,2005.0
Southwest Gas,56.8,928.0,1477.1,2005.0
Church & Dwight,88.8,929.0,1462.1,2005.0
Sunrise Senior Living,50.7,930.0,1461.9,2005.0
Walter Industries,49.9,931.0,1461.7,2005.0
Stein Mart,38.0,932.0,1460.5,2005.0
Federated Mutual Ins.,129.0,933.0,1458.0,2005.0
Maverick Tube,193.8,934.0,1456.3,2005.0
Apria Healthcare Group,114.0,935.0,1451.4,2005.0
Domino's Pizza,62.3,936.0,1446.5,2005.0
NeighborCare,1.8,937.0,1443.6,2005.0
Mutual of America Life,18.2,938.0,1442.3,2005.0
Warnaco Group,42.5,939.0,1441.7,2005.0
Maxim Integrated Products,419.8,940.0,1439.3,2005.0
Rayovac,55.8,941.0,1438.7,2005.0
Moody's,425.1,942.0,1438.3,2005.0
Joy Global,55.3,943.0,1432.2,2005.0
MPS Group,35.4,944.0,1426.8,2005.0
Hub Group,17.3,945.0,1426.8,2005.0
Integrated Electrical Svcs.,-124.9,946.0,1424.1,2005.0
Dollar Thrifty Automotive,50.8,947.0,1424.0,2005.0
BMC Software,-26.8,948.0,1418.7,2005.0
USEC,23.5,949.0,1417.2,2005.0
J.M. Smucker,111.3,950.0,1417.0,2005.0
Donaldson,106.3,951.0,1415.0,2005.0
Dun & Bradstreet,211.8,952.0,1414.0,2005.0
Harleysville Mutual Ins.,70.3,953.0,1413.2,2005.0
H.B. Fuller,35.6,954.0,1409.6,2005.0
Fred's,30.5,955.0,1409.5,2005.0
Sigma-Aldrich,232.9,956.0,1409.2,2005.0
Wyndham International,-509.4,957.0,1407.7,2005.0
Ambac Financial Group,724.6,958.0,1407.2,2005.0
Wheeling Pittsburgh,62.5,959.0,1405.8,2005.0
Mettler-Toledo International,108.0,960.0,1404.5,2005.0
Sauer-Danfoss,33.2,961.0,1404.2,2005.0
Boston Properties,284.0,962.0,1403.7,2005.0
Invacare,75.2,963.0,1403.3,2005.0
Agilysys,8.7,964.0,1403.2,2005.0
Alleghany,117.7,965.0,1399.2,2005.0
Xilinx,303.0,966.0,1397.8,2005.0
Monaco Coach,36.7,967.0,1397.2,2005.0
WellCare Health Plans,49.2,968.0,1395.2,2005.0
Griffon,53.9,969.0,1393.8,2005.0
Hibernia Corp.,293.0,970.0,1389.9,2005.0
Westcorp,208.0,971.0,1387.0,2005.0
Nortek,-29.6,972.0,1386.7,2005.0
EarthLink,111.0,973.0,1382.2,2005.0
Ferrellgas Partners,28.6,974.0,1379.4,2005.0
Mueller Industries,79.4,975.0,1379.1,2005.0
Mylan Laboratories,334.6,976.0,1374.6,2005.0
Nextel Partners,53.7,977.0,1368.4,2005.0
Trans World Entertnmnt.,41.8,978.0,1365.1,2005.0
Radian Group,518.7,979.0,1364.1,2005.0
Noble Energy,328.7,980.0,1363.8,2005.0
Valhi,295.1,981.0,1359.3,2005.0
Primedia,35.5,982.0,1359.1,2005.0
Novellus Systems,156.7,983.0,1357.3,2005.0
PC Connection,8.3,984.0,1353.8,2005.0
Newfield Exploration,312.1,985.0,1352.7,2005.0
Primus Telecommunications,-10.6,986.0,1350.9,2005.0
PSS World Medical,27.5,987.0,1349.9,2005.0
Jacuzzi Brands,28.5,988.0,1349.3,2005.0
Renal Care Group,121.8,989.0,1345.0,2005.0
GNC,42.0,990.0,1344.7,2005.0
Siebel Systems,110.7,991.0,1339.8,2005.0
Herman Miller,42.3,992.0,1338.3,2005.0
Juniper Networks,135.7,993.0,1336.0,2005.0
Lincoln Electric Holdings,80.6,994.0,1333.7,2005.0
Gilead Sciences,449.4,995.0,1324.6,2005.0
Pogo Producing,261.8,996.0,1323.0,2005.0
Coach,261.7,997.0,1321.1,2005.0
King Pharmaceuticals,-160.3,998.0,1317.5,2005.0
Bon-Ton Stores,20.2,999.0,1315.2,2005.0
Watsco,48.1,1000.0,1315.0,2005.0
Exxon Mobil (XOM),36130.0,1.0,339938.0,2006.0
Wal-Mart Stores (WMT),11231.0,2.0,315654.0,2006.0
General Motors (GM),-10600.0,3.0,192604.0,2006.0
Chevron (CVX),14099.0,4.0,189481.0,2006.0
Ford Motor (F),2024.0,5.0,177210.0,2006.0
ConocoPhillips (COP),13529.0,6.0,166683.0,2006.0
General Electric (GE),16353.0,7.0,157153.0,2006.0
Citigroup (C),24589.0,8.0,131045.0,2006.0
American Intl. Group (AIG),10477.0,9.0,108905.0,2006.0
Intl. Business Machines (IBM),7934.0,10.0,91134.0,2006.0
Hewlett-Packard (HPQ),2398.0,11.0,86696.0,2006.0
Bank of America Corp. (BAC),16465.0,12.0,83980.0,2006.0
Berkshire Hathaway (BRKA),8528.0,13.0,81663.0,2006.0
Home Depot (HD),5838.0,14.0,81511.0,2006.0
Valero Energy (VLO),3590.0,15.0,81362.0,2006.0
McKesson (MCK),-156.7,16.0,80514.6,2006.0
J.P. Morgan Chase & Co. (JPM),8483.0,17.0,79902.0,2006.0
Verizon Communications (VZ),7397.0,18.0,75111.9,2006.0
Cardinal Health (CAH),1050.7,19.0,74915.1,2006.0
Altria Group (MO),10435.0,20.0,69148.0,2006.0
Kroger (KR),958.0,21.0,60552.9,2006.0
State Farm Insurance Cos,3241.8,22.0,59223.9,2006.0
Marathon Oil (MRO),3032.0,23.0,58958.0,2006.0
Procter & Gamble (PG),7257.0,24.0,56741.0,2006.0
Dell (DELL),3572.0,25.0,55908.0,2006.0
Boeing (BA),2572.0,26.0,54848.0,2006.0
AmerisourceBergen (ABC),264.6,27.0,54589.6,2006.0
Costco Wholesale (COST),1063.1,28.0,52935.2,2006.0
Target (TGT),2408.0,29.0,52620.0,2006.0
Morgan Stanley (MS),4939.0,30.0,52498.0,2006.0
Pfizer (PFE),8085.0,31.0,51353.0,2006.0
Johnson & Johnson (JNJ),10411.0,32.0,50514.0,2006.0
Sears Holdings (SHLD),858.0,33.0,49124.0,2006.0
Merrill Lynch (MER),5116.0,34.0,47783.0,2006.0
MetLife (MET),4714.0,35.0,46983.0,2006.0
Dow Chemical (DOW),4515.0,36.0,46307.0,2006.0
UnitedHealth Group (UNH),3300.0,37.0,45365.0,2006.0
Wellpoint (WLP),2463.8,38.0,45136.0,2006.0
AT&T (T),4786.0,39.0,43862.0,2006.0
Time Warner (TWX),2905.0,40.0,43652.0,2006.0
Goldman Sachs Group (GS),5626.0,41.0,43391.0,2006.0
Lowe's (LOW),2771.0,42.0,43243.0,2006.0
United Technologies (UTX),3069.0,43.0,42725.0,2006.0
United Parcel Service (UPS),3870.0,44.0,42581.0,2006.0
Walgreen (WAG),1559.5,45.0,42201.6,2006.0
Wells Fargo (WFC),7671.0,46.0,40407.0,2006.0
Albertson's (ABS),446.0,47.0,40397.0,2006.0
Microsoft (MSFT),12254.0,48.0,39788.0,2006.0
Intel (INTC),8664.0,49.0,38826.0,2006.0
Safeway (SWY),561.1,50.0,38416.0,2006.0
Medco Health Solutions (MHS),602.0,51.0,37870.9,2006.0
Lockheed Martin (LMT),1825.0,52.0,37213.0,2006.0
CVS (CVS),1224.7,53.0,37006.2,2006.0
Motorola (MOT),4578.0,54.0,36843.0,2006.0
Caterpillar (CAT),2854.0,55.0,36339.0,2006.0
Archer Daniels Midland (ADM),1044.4,56.0,35943.8,2006.0
Wachovia Corp. (WB),6643.0,57.0,35908.0,2006.0
Allstate (ALL),1765.0,58.0,35383.0,2006.0
Sprint Nextel (S),1785.0,59.0,34680.0,2006.0
Caremark Rx (CMX),932.4,60.0,32991.3,2006.0
PepsiCo (PEP),4078.0,61.0,32562.0,2006.0
Lehman Brothers (LEH),3260.0,62.0,32420.0,2006.0
Walt Disney (DIS),2533.0,63.0,31944.0,2006.0
Prudential Financial (PRU),3540.0,64.0,31708.0,2006.0
Plains All Amer. Pipeline (PAA),217.8,65.0,31177.3,2006.0
Sunoco (SUN),974.0,66.0,31176.0,2006.0
Northrop Grumman (NOC),1400.0,67.0,30721.0,2006.0
Sysco (SYY),961.5,68.0,30281.9,2006.0
American Express (AXP),3734.0,69.0,30080.0,2006.0
FedEx (FDX),1449.0,70.0,29363.0,2006.0
Honeywell Intl. (HON),1655.0,71.0,28862.0,2006.0
Ingram Micro (IM),216.9,72.0,28808.3,2006.0
DuPont (DD),2053.0,73.0,28491.0,2006.0
New York Life Insurance,1421.6,74.0,28051.0,2006.0
Johnson Controls (JCI),909.4,75.0,28019.5,2006.0
Best Buy (BBY),984.0,76.0,27433.0,2006.0
Delphi (DPHIQ),-6369.0,77.0,27201.0,2006.0
Hartford Financial Services (HIG),2274.0,78.0,27083.0,2006.0
Alcoa (AA),1233.0,79.0,26601.0,2006.0
Tyson Foods (TSN),353.0,80.0,26014.0,2006.0
TIAA-CREF,2000.8,81.0,25916.8,2006.0
International Paper (IP),1100.0,82.0,25797.0,2006.0
Cisco Systems (CSCO),5741.0,83.0,24801.0,2006.0
HCA (HCA),1424.0,84.0,24455.0,2006.0
St. Paul Travelers Cos. (STA),1622.0,85.0,24365.0,2006.0
News Corp. (NWS),2128.0,86.0,23859.0,2006.0
Federated Dept. Stores (FD),1406.0,87.0,23347.0,2006.0
Amerada Hess (AHC),1242.0,88.0,23255.0,2006.0
Coca-Cola (KO),4872.0,89.0,23104.0,2006.0
Weyerhaeuser (WY),733.0,90.0,23000.0,2006.0
Aetna (AET),1634.5,91.0,22885.0,2006.0
Mass. Mutual Life Ins.,1446.0,92.0,22798.8,2006.0
Abbott Laboratories (ABT),3372.1,93.0,22337.8,2006.0
Comcast (CMCSK),928.0,94.0,22255.0,2006.0
Merck (MRK),4631.3,95.0,22011.9,2006.0
Deere (DE),1446.8,96.0,21930.5,2006.0
Raytheon (RTN),871.0,97.0,21894.0,2006.0
Nationwide,1149.0,98.0,21832.0,2006.0
Washington Mutual (WM),3432.0,99.0,21326.0,2006.0
General Dynamics (GD),1461.0,100.0,21290.0,2006.0
3M (MMM),3199.0,101.0,21167.0,2006.0
Liberty Mutual Ins. Group,1027.0,102.0,21161.0,2006.0
Halliburton (HAL),2358.0,103.0,20994.0,2006.0
Publix Super Markets,989.2,104.0,20744.8,2006.0
AMR (AMR),-861.0,105.0,20712.0,2006.0
BellSouth (BLS),3294.0,106.0,20613.0,2006.0
Tech Data (TECD),26.6,107.0,20542.1,2006.0
Electronic Data Systems (EDS),150.0,108.0,20537.0,2006.0
McDonald's (MCD),2602.2,109.0,20460.2,2006.0
Bristol-Myers Squibb (BMY),3000.0,110.0,20222.0,2006.0
Sara Lee (SLE),719.0,111.0,19727.0,2006.0
Goodyear Tire & Rubber (GT),228.0,112.0,19723.0,2006.0
Supervalu (SVU),385.8,113.0,19543.2,2006.0
Cendant (CD),1341.0,114.0,19471.0,2006.0
AutoNation (AN),496.5,115.0,19468.0,2006.0
Northwestern Mutual,923.8,116.0,19220.8,2006.0
Duke Energy (DUK),1824.0,117.0,18944.0,2006.0
J.C. Penney (JCP),1088.0,118.0,18781.0,2006.0
Wyeth (WYE),3656.3,119.0,18755.8,2006.0
Coca-Cola Enterprises (CCE),514.0,120.0,18706.0,2006.0
Lyondell Chemical (LYO),531.0,121.0,18606.0,2006.0
Countrywide Financial (CFC),2528.1,122.0,18536.9,2006.0
Dominion Resources (D),1033.0,123.0,18041.0,2006.0
UAL (UAUA),-21176.0,124.0,17379.0,2006.0
Constellation Energy (CEG),623.1,125.0,17374.8,2006.0
Emerson Electric (EMR),1422.0,126.0,17305.0,2006.0
Lear (LEA),-1381.5,127.0,17089.2,2006.0
